dataset,model,missing_rate,auc_roc,pr_auc,log_loss,brier_score,recall,f1_score
cf1,xgboost,0.2,0.9419917069561776,0.29400423334650827,0.03945344686508179,0.008129124529659748,0.0,0.0
cf1,xgboost,0.5,0.8907451695600557,0.09528035962752884,0.08911203593015671,0.016031892970204353,0.0,0.0
cf1,lightgbm,0.0,0.9460263932141566,0.686014972461069,0.029031263716113916,0.005098401403520427,0.43478260869565216,0.6060606060606061
cf1,lightgbm,0.05,0.938679651072762,0.6735932701928051,0.031171986516574487,0.005221070000917272,0.391304347826087,0.5625
cf1,lightgbm,0.2,0.927926222879854,0.5970108599288755,0.04175149308927597,0.006638982067578644,0.17391304347826086,0.2962962962962963
cf1,lightgbm,0.5,0.8525661981039555,0.4304808727314703,0.06542776797142598,0.008786144705640108,0.0,0.0
cf1,logreg,0.0,0.959739164845753,0.720682414233726,0.021733332818982844,0.004384283362860869,0.4782608695652174,0.6470588235294118
cf1,logreg,0.05,0.9676536879957329,0.6926623557654794,0.02222801452177008,0.004713590045828701,0.43478260869565216,0.6060606060606061
cf1,logreg,0.2,0.9479534075463257,0.6619986168097536,0.02354685188461046,0.005236819375322161,0.34782608695652173,0.5161290322580645
cf1,logreg,0.5,0.8842414961889852,0.32762739482653985,0.03764082893485413,0.007843628569989358,0.08695652173913043,0.16
cf2,xgboost,0.0,0.7171874173936029,0.1486706923712574,0.2484273761510849,0.05648105964064598,0.0,0.0
cf2,xgboost,0.05,0.7041871530531324,0.13851921894519403,0.25314995646476746,0.05706388130784035,0.0,0.0
cf2,xgboost,0.2,0.6561194818926778,0.11285756406534472,0.2698870301246643,0.05795713886618614,0.00641025641025641,0.012658227848101266
cf2,xgboost,0.5,0.5906106264869151,0.09265215777708793,0.2831863462924957,0.058509089052677155,0.0,0.0
cf2,lightgbm,0.0,0.730111022997621,0.16145522192137873,0.21208503734846781,0.05443884413693132,0.0,0.0
cf2,lightgbm,0.05,0.7188448321438012,0.1495429615843346,0.2158389407197721,0.055062566632226535,0.0,0.0
cf2,lightgbm,0.2,0.6842743854084061,0.1322507555869238,0.2261442797367884,0.055916461138583416,0.0,0.0
cf2,lightgbm,0.5,0.6198836901929684,0.10740728692982446,0.2518851033593216,0.057476947092694464,0.0,0.0
cf2,logreg,0.0,0.7519455458630716,0.1736537565966432,0.20556938241028655,0.05374661288363446,0.0,0.0
cf2,logreg,0.05,0.7485408406026963,0.159493224032549,0.2071192332224573,0.054121533024544,0.0,0.0
cf2,logreg,0.2,0.7249431667988371,0.1487892076124099,0.2110683346630246,0.05461471607999732,0.0,0.0
cf2,logreg,0.5,0.6564842717420037,0.11260137745648253,0.21954601174124555,0.05575804564027272,0.0,0.0
cc1,xgboost,0.0,0.6554759262149616,0.35396816111947216,0.5057175755500793,0.16523084044456482,0.087248322147651,0.14857142857142858
cc1,xgboost,0.05,0.6448668701478129,0.3279521474954552,0.5153676867485046,0.16955319046974182,0.10738255033557047,0.1693121693121693
cc1,xgboost,0.2,0.626721930296146,0.28890931564577826,0.5415530204772949,0.18190345168113708,0.17225950782997762,0.22063037249283668
cc1,xgboost,0.5,0.5812645601743464,0.2666141664799662,0.5981072187423706,0.20741958916187286,0.3131991051454139,0.27944111776447106
cc1,lightgbm,0.0,0.6586004023377209,0.3592112704845117,0.50358686244584,0.16393771822151718,0.03131991051454139,0.05907172995780591
cc1,lightgbm,0.05,0.6543790356612271,0.3552858735469385,0.5050725696852795,0.1644861608346206,0.03355704697986577,0.06342494714587738
cc1,lightgbm,0.2,0.6348163756076977,0.3381943190357145,0.5112651870957239,0.16673677444419158,0.029082774049217,0.05543710021321962
cc1,lightgbm,0.5,0.60788547248669,0.29750345539923556,0.5210083109724704,0.17063618974385295,0.017897091722595078,0.034408602150537634
cc1,logreg,0.0,0.6623571440958673,0.3578836557301339,0.5025394328638066,0.1637601659231175,0.06040268456375839,0.10714285714285714
cc1,logreg,0.05,0.6588106758233182,0.35424603677467464,0.5037673564579636,0.16409428687541322,0.053691275167785234,0.0963855421686747
cc1,logreg,0.2,0.649145321378816,0.34648728254924066,0.5060588207391106,0.1649311899057138,0.040268456375838924,0.07484407484407485
cc1,logreg,0.5,0.609553208585517,0.29738589785767666,0.5181118836819986,0.1694443514149969,0.011185682326621925,0.021691973969631236
cc2,xgboost,0.0,0.8643518098521275,0.7030407154290713,0.32495760917663574,0.09753131866455078,0.488013698630137,0.59436913451512
cc2,xgboost,0.05,0.8298961546312256,0.5645749170375836,0.3876551389694214,0.121409110724926,0.4828767123287671,0.5310734463276836
cc2,xgboost,0.2,0.7398224167649461,0.4170198951620108,0.5620794296264648,0.18811096251010895,0.5308219178082192,0.43661971830985913
cc2,xgboost,0.5,0.6326338961716411,0.30031724781356367,0.8870493769645691,0.31563499569892883,0.6678082191780822,0.35697940503432496
cc2,lightgbm,0.0,0.8696170790619614,0.7127527923149345,0.31903150113292467,0.09585970309513134,0.4914383561643836,0.6010471204188481
