dataset,model,missing_rate,auc_roc,pr_auc,log_loss,brier_score,recall,f1_score
cd1,logreg,0.05,0.762547405793593,0.18402151469989825,0.2072260573025617,0.0552921114312522,0.012345679012345678,0.022727272727272728
cd1,logreg,0.2,0.7418653675461954,0.1695226144934583,0.21119382223620492,0.05570912003909169,0.012345679012345678,0.023255813953488372
cd1,logreg,0.5,0.7356723553618978,0.1473956301966123,0.21743673545456468,0.056723629558648535,0.0,0.0
cd2,sap_rpt,0.0,0.7680658989448051,0.5123883719244521,0.4374409861216585,0.13801616362263214,0.3066326530612245,0.4154856550293813
cd2,sap_rpt,0.05,0.7521416613520409,0.5025087805847898,0.44422121803858794,0.13987828462412433,0.3040816326530612,0.41388888888888886
cd2,sap_rpt,0.2,0.7159222808441559,0.4706152883887748,0.4697049004632727,0.14852955234755866,0.28469387755102044,0.39268121041520054
cd2,sap_rpt,0.5,0.6767414700255101,0.42049899754895015,0.5370633586505948,0.17603831174268744,0.24744897959183673,0.34384969868840837
cd2,xgboost,0.0,0.7692861491187384,0.5339124977794681,0.4360950763063754,0.13686483589248297,0.3709183673469388,0.4711600777705768
cd2,xgboost,0.05,0.7404631334067718,0.4907114554558705,0.4597757050127511,0.1443630642716192,0.34285714285714286,0.43664717348927873
cd2,xgboost,0.2,0.6656494593576067,0.3802491206898218,0.5241319516431064,0.16897273298819876,0.2760204081632653,0.3386541471048513
cd2,xgboost,0.5,0.5706849344851577,0.27191514568814057,0.5774866928799665,0.19011852598475748,0.1826530612244898,0.228973456987528
cd2,lightgbm,0.0,0.7693645640074211,0.5299914644316969,0.4362820384132578,0.13716516509063958,0.3489795918367347,0.4531301755548195
cd2,lightgbm,0.05,0.7513242839749537,0.504161524748879,0.4518913117739183,0.14325310503826255,0.36581632653061225,0.4522232734153264
cd2,lightgbm,0.2,0.7048758551716141,0.44332767773855025,0.5022977291604753,0.16393681162356277,0.4076530612244898,0.42841823056300266
