dataset,model,auc_roc,pr_auc,log_loss,brier_score,recall,f1_score,fit_seconds,fit_peak_memory_mb,predict_seconds,predict_peak_memory_mb,best_threshold,min_expected_cost,cost_at_naive_0.5_threshold,calibration_predicted,calibration_observed,fairness_protected_attribute,fairness_privileged_group,fairness_unprivileged_group,fairness_selection_rate_privileged,fairness_selection_rate_unprivileged,fairness_disparate_impact_ratio,fairness_equalized_odds_gap
ld3,lightgbm,0.6611167843070769,0.34095612997836394,0.4996887533905959,0.1625048652925037,0.012662468176336594,0.0247042676949219,7.197724166999706,4.6646223068237305,1.1148957340001289,2.06661319732666,0.17,0.6778618732261117,1.0919908940397351,"[0.07637203524941863, 0.1145323535433417, 0.141102930258647, 0.1674818228452916, 0.19447628286305166, 0.22091114786579005, 0.2494369544539202, 0.2806860362291303, 0.3174323646703211, 0.3967590441870182]","[0.07760532150776053, 0.11263858093126386, 0.14382852919438285, 0.16735659373151981, 0.19778270509977827, 0.22764227642276422, 0.25927568366592757, 0.2928740390301597, 0.3271249076127125, 0.40029563932002954]",,,,,,,
ld3,logreg,0.635164156931895,0.3160460541558886,0.5082940621825547,0.16537181303643417,0.00442181428380008,0.008767268862911796,2.3657908599998336,123.0399112701416,0.17557664800006023,58.59903621673584,0.17,0.7021050141911069,1.0992786187322612,"[0.0880324390077079, 0.13325920737474312, 0.16088982554628847, 0.18376546266264904, 0.204365951445902, 0.22374174162269486, 0.2432988245083345, 0.26483073363096366, 0.2936619466840073, 0.36145520140752335]","[0.0917960088691796, 0.12697708795269771, 0.15447154471544716, 0.18347131874630396, 0.20842572062084258, 0.23651145602365115, 0.25340035481963336, 0.2813008130081301, 0.30007390983000737, 0.36999260901699926]",,,,,,,
cf1,tabfm,0.9277885789989849,0.8143230975959893,0.014842864985173933,0.003290616550638886,0.6086956521739131,0.717948717948718,0.476713412999743,8.890642166137695,514.8174899,107.92087745666504,0.03,0.010980392156862745,0.01843137254901961,"[0.0003639478311764405, 0.0003786463358932558, 0.0003898495472693706, 0.0004010326706110408, 0.00041265714429684127, 0.0004263382949455477, 0.00044423424611415933, 0.00046990055239339376, 0.0005279101652787159, 0.06977684827037521]","[0.00392156862745098, 0.0, 0.0, 0.00392156862745098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08235294117647059]",,,,,,,
cf1,sap_rpt,0.949329846355018,0.7527502098656093,0.02281752085246576,0.005739019715577991,0.08695652173913043,0.16,0.001707529000213981,0.054747581481933594,9.136236069999995,3.359164237976074,0.09999999999999999,0.01411764705882353,0.041176470588235294,"[0.00021033927700687748, 0.0003347435602050859, 0.0004573491505831115, 0.0006298683095248599, 0.0008496616558427466, 0.0011880476004900594, 0.0017153086789025395, 0.0026896776184074434, 0.004951472688174131, 0.04666332173544695]","[0.0, 0.0, 0.00392156862745098, 0.0, 0.0, 0.0, 0.00392156862745098, 0.0, 0.0, 0.08235294117647059]",,,,,,,
cf1,xgboost,0.9215601933896526,0.6336503382632312,0.02785350783332453,0.0055173253336393184,0.34782608695652173,0.48484848484848486,0.5499124950001715,0.05263996124267578,0.023619104999852425,0.043720245361328125,0.060000000000000005,0.019215686274509803,0.03019607843137255,"[8.342928282111055e-06, 2.086430415111667e-05, 3.595589365503139e-05, 5.411503442184196e-05, 8.06674770679891e-05, 0.000128775669002732, 0.00021224644414021397, 0.00037285807432935517, 0.0007672858684707214, 0.04692962995556859]","[0.00392156862745098, 0.0, 0.0, 0.0, 0.00392156862745098, 0.0, 0.0, 0.00392156862745098, 0.0, 0.0784313725490196]",,,,,,,
cf1,lightgbm,0.9238485229091032,0.7207371535177296,0.044393627573274634,0.0045259943402688255,0.4782608695652174,0.6470588235294118,0.3768981090001944,2.6003036499023438,0.03537033300017356,0.08025455474853516,0.29000000000000004,0.021568627450980392,0.023529411764705882,"[2.0602422945032188e-08, 3.3285294050159826e-08, 4.4139199821348e-08, 5.6162113085751925e-08, 7.195827101994894e-08, 9.712399505409692e-08, 1.334474001663271e-07, 1.911685767519818e-07, 3.6410514758703006e-07, 0.04521640741947003]","[0.0, 0.00784313725490196, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08235294117647059]",,,,,,,
cf1,logreg,0.9564529171900001,0.7593142864863318,0.01718884927037787,0.0038401481085106777,0.5652173913043478,0.7027027027027027,0.08753313599981993,3.977872848510742,0.024275271000078646,1.9028310775756836,0.08,0.013725490196078431,0.02,"[4.971837634234532e-05, 0.00010894075700964747, 0.00016124112791685648, 0.00022037172470810879, 0.00029922641821296213, 0.00041292667635497684, 0.0005780498076052761, 0.000841709821897241, 0.0015287568582420218, 0.07295075211004325]","[0.0, 0.0, 0.0, 0.0, 0.00392156862745098, 0.0, 0.00392156862745098, 0.0, 0.0, 0.08235294117647059]",,,,,,,
cf2,xgboost,0.7124742268041238,0.14244219113040452,0.23345788196364115,0.05602306843516153,0.0,0.0,2.0790725240003667,0.053269386291503906,0.018629973999850336,0.044147491455078125,0.08,0.28864781092599767,0.3029833397907788,"[0.0014871835877060798, 0.0032912049796287868, 0.005468913427980024, 0.008061000127922888, 0.01119198148723605, 0.015475452256699404, 0.021879924771686394, 0.03222944367994634, 0.05548639605615952, 0.1506570100553276]","[0.019305019305019305, 0.011627906976744186, 0.031007751937984496, 0.03488372093023256, 0.031007751937984496, 0.05426356589147287, 0.07364341085271318, 0.05813953488372093, 0.10852713178294573, 0.1821705426356589]",gender,male,female,0.8821292775665399,0.9368088467614534,1.0619858909407855,0.0899751449875725
cf2,lightgbm,0.6996087761036215,0.1375946665737266,0.27981884787138883,0.05784838275266404,0.0,0.0,1.9787932049998744,3.1171131134033203,0.061634503999812296,0.08092594146728516,0.05,0.2909724912824487,0.30337078651685395,"[0.0002704681009508967, 0.0007280608910746921, 0.001336929338322962, 0.002131732251160966, 0.0031809445303979094, 0.004818862199325507, 0.007448945077495313, 0.012815922069589378, 0.02408537126809495, 0.09840445087840737]","[0.011583011583011582, 0.031007751937984496, 0.023255813953488372, 0.04263565891472868, 0.050387596899224806, 0.03875968992248062, 0.08171206225680934, 0.05405405405405406, 0.10077519379844961, 0.17054263565891473]",gender,male,female,0.9201520912547528,0.9494470774091627,1.0318371130521065,0.02807769500289145
cf2,logreg,0.7199973565952947,0.15095433039471276,0.21761670738477984,0.05510305363541224,0.00641025641025641,0.0125,0.48329469600002994,20.143434524536133,0.08116369900017162,9.600259780883789,0.14,0.2882603641999225,0.3014335528864781,"[0.003043376989055529, 0.008726074396941333, 0.014360195849708721, 0.021151925432106877, 0.02917210144421963, 0.03926083579295218, 0.05320755213730972, 0.0736629810862983, 0.1116158747587652, 0.23131112778453383]","[0.019305019305019305, 0.027131782945736434, 0.023255813953488372, 0.031007751937984496, 0.031007751937984496, 0.031007751937984496, 0.05813953488372093, 0.06976744186046512, 0.12403100775193798, 0.18992248062015504]",gender,male,female,0.8722433460076046,0.9241706161137441,1.059533008011834,0.09710024855012428
cc1,tabfm,0.6649801432461024,0.35817017027560016,0.5011552595676662,0.16349164874281752,0.0447427293064877,0.08196721311475409,0.19261039699995308,2.527176856994629,338.81096238799955,32.80607604980469,0.17,0.6761904761904762,1.080701754385965,"[0.07697415437549353, 0.11509873744231372, 0.14160081692039966, 0.16509082314357088, 0.18685115523636342, 0.21447411965784716, 0.24282569936172446, 0.277287073135376, 0.32518498592041245, 0.4417389680445194]","[0.05, 0.1407035175879397, 0.17, 0.1407035175879397, 0.19, 0.2663316582914573, 0.23618090452261306, 0.295, 0.3065326633165829, 0.445]",gender,male,female,0.46500920810313073,0.264026402640264,0.5677874718164886,0.1927267495493361
cc1,sap_rpt,0.6600072837001197,0.36653029826429506,0.5033674994613303,0.16397964423738787,0.053691275167785234,0.09896907216494845,0.0011043360000257962,0.043656349182128906,3.3368223070001477,2.6529932022094727,0.13,0.6736842105263158,1.0671679197994988,"[0.08547126404941081, 0.12708842413659072, 0.1573901043087244, 0.18208887162220538, 0.2104036082327366, 0.23893425579945646, 0.27158712262484297, 0.31183354124426843, 0.3649820379875413, 0.45953220516443255]","[0.065, 0.135678391959799, 0.165, 0.17587939698492464, 0.215, 0.20603015075376885, 0.23618090452261306, 0.23, 0.4271356783919598, 0.385]",gender,male,female,0.1850828729281768,0.12211221122112212,0.659770454657406,0.06738377948357721
cc1,xgboost,0.63265800137581,0.32155907272399153,0.5295843772153651,0.17312041250442786,0.10514541387024609,0.16376306620209058,0.24188023900023836,0.041548728942871094,0.01264315499975055,0.035205841064453125,0.13,0.6837092731829574,1.0426065162907268,"[0.04216348310234025, 0.07959444491407978, 0.11280214615166187, 0.1494488060923677, 0.18304277680814265, 0.21538464081047767, 0.25528274888369307, 0.3014238269627094, 0.37434582090258, 0.5667712251842022]","[0.1, 0.11557788944723618, 0.13, 0.21105527638190955, 0.245, 0.22613065326633167, 0.2562814070351759, 0.29, 0.2914572864321608, 0.375]",gender,male,female,0.3314917127071823,0.2552255225522552,0.7699303263659699,0.0750010010811677
cc1,lightgbm,0.6211500442224651,0.31897061720260916,0.5357600535826335,0.17470316920259163,0.12080536912751678,0.18848167539267016,0.3951520699993125,3.016817092895508,0.03851376199963852,0.06314945220947266,0.13,0.7027568922305765,1.0210526315789474,"[0.042701816764077846, 0.07721890359260476, 0.1116777905990152, 0.14650599205067985, 0.17830412483114633, 0.21280498274451853, 0.25156805479965283, 0.30072201495103984, 0.3843276793578216, 0.5699891715463631]","[0.115, 0.1306532663316583, 0.13, 0.2562814070351759, 0.215, 0.19095477386934673, 0.271356783919598, 0.245, 0.3065326633165829, 0.38]",gender,male,female,0.31767955801104975,0.2761276127612761,0.8692017027789735,0.03896952411581012
cc1,logreg,0.6622993369520604,0.35770909023023634,0.5025634433394554,0.16376353596526982,0.06040268456375839,0.10714285714285714,0.041549138999471324,1.3189573287963867,0.01921182299975044,0.6367254257202148,0.16,0.67468671679198,1.0676691729323309,"[0.10153536722703568, 0.13614318961357738, 0.16109670939217546, 0.18167790444475326, 0.20409077535741346, 0.23138342701512096, 0.259266230200185, 0.2941518438602319, 0.34767835319532203, 0.4656039128525509]","[0.06, 0.12562814070351758, 0.165, 0.18090452261306533, 0.235, 0.21608040201005024, 0.22613065326633167, 0.25, 0.35678391959798994, 0.425]",gender,male,female,0.32320441988950277,0.1397139713971397,0.43227741577576556,0.19809917145541178
cc2,tabfm,0.8776457463939037,0.7273795574454058,0.31016475029545737,0.09319518194611957,0.5102739726027398,0.6138002059732235,0.279222340999695,4.119121551513672,579.9312750170002,53.87831115722656,0.22,0.367,0.5063333333333333,"[0.006665356602170504, 0.013981636787454288, 0.025192192662507294, 0.039717347125212354, 0.06050555430352688, 0.09210121835271518, 0.1482000744342804, 0.24862820267677307, 0.44543070564667386, 0.8425969346364339]","[0.01, 0.023333333333333334, 0.03333333333333333, 0.05333333333333334, 0.07333333333333333, 0.1, 0.15333333333333332, 0.21, 0.45, 0.84]",gender,male,female,0.7865030674846626,0.6591240875912409,0.8380438867189723,0.08493643099194176
